,precision,recall,f1-score,support
0,0.8833333333333333,1.0,0.9380530973451328,53.0
1,0.0,0.0,0.0,7.0
accuracy,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333
macro avg,0.44166666666666665,0.5,0.4690265486725664,60.0
weighted avg,0.7802777777777777,0.8833333333333333,0.828613569321534,60.0
