,precision,recall,f1-score,support
0,1.0,0.22641509433962265,0.36923076923076925,53.0
1,0.14583333333333334,1.0,0.2545454545454545,7.0
accuracy,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665
macro avg,0.5729166666666666,0.6132075471698113,0.3118881118881119,60.0
weighted avg,0.9003472222222223,0.31666666666666665,0.35585081585081585,60.0
