Model,Accuracy,Precision,Recall,F1,AUC,AP,MCC,OptThreshold
CustomCNN,0.4,0.16279069767441862,1.0,0.28,0.5053908355795148,0.12728356540494615,0.2285079520710804,0.502457
EfficientNetB0,0.31666666666666665,0.14583333333333334,1.0,0.2545454545454545,0.33962264150943394,0.09620936352523005,0.18171094607790778,0.6107693
