epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.6832060813903809,0.5173304080963135,0.0010000000474974513,0.8204107284545898,0.13333334028720856,0.5,0.7805911898612976
1,0.8125,0.0,0.0010000000474974513,0.6536723971366882,0.13333334028720856,0.5,0.7797881960868835
2,0.7595419883728027,0.43032950162887573,0.0010000000474974513,0.8889445066452026,0.13333334028720856,0.5144230723381042,0.7728974223136902
3,0.75,0.5,0.0010000000474974513,1.0192888975143433,0.13333334028720856,0.5,0.7775875926017761
4,0.5534350872039795,0.5369582176208496,0.0010000000474974513,0.8158193230628967,0.8666666746139526,0.33173078298568726,0.7472547888755798
5,0.5,0.6428571343421936,0.0010000000474974513,0.7462407350540161,0.8666666746139526,0.36538463830947876,0.7422961592674255
6,0.580152690410614,0.4800051748752594,0.0010000000474974513,0.8357953429222107,0.8666666746139526,0.35817307233810425,0.7214465737342834
7,0.625,0.375,0.0010000000474974513,0.7912007570266724,0.8666666746139526,0.3413461446762085,0.7186825275421143
8,0.37022900581359863,0.35252082347869873,0.0010000000474974513,0.7833465337753296,0.8666666746139526,0.35576924681663513,0.6554224491119385
9,0.125,0.3333333432674408,0.0010000000474974513,1.788106083869934,0.8666666746139526,0.35336539149284363,0.6640569567680359
