,precision,recall,f1-score,support
0,1.0,0.32075471698113206,0.4857142857142857,53.0
1,0.16279069767441862,1.0,0.28,7.0
accuracy,0.4,0.4,0.4,0.4
macro avg,0.5813953488372093,0.660377358490566,0.3828571428571429,60.0
weighted avg,0.9023255813953488,0.4,0.46171428571428574,60.0
